JapaneseName	EnglishName
120:kan_Op	120: KAN_OP
36:Paralyze	36: Paralyze
102:Strike_L_Op	102: strike_l_op
5:Lance_S	5: LANCE_S
1:Slash_S	1: Slash_S
33:Ice	33: ICE
103:Strike_S_Op	103: strike_s_op
6:Gunner_L	6: Gunner_L
107:Gunner_S_Op	107: Gunner_S_OP
100:Slash_L_Op	100: Slash_L_OP
37:Sleep	37: Sleep
7:Gunner_S	7: Gunner_S
0:Slash_L	0: Slash_L
51:－Kaishin	51: -kaishin
25:Bomb	25: Bomb
38:StaminaDrop	38: STAMINADROP
104:Lance_L_Op	104: LANCE_L_OP
40:Explosion_2	40: Explosion_2
3:Strike_S	3: strike_s
31:Water	31: Water
32:Thunder	32: Thunder
44:Masui	44: Often
34:Dragon	34: DRAGON
4:Lance_L	4: LANCE_L
20:kan	20: KAN
60:Piyo	60: Piyo
属性_マイナス会心2	Attributes_minus_meetings_2
属性_マイナス会心3	Attributes_minus_core_3
属性_会心2	Attribute_Meetingle_2
属性_会心3	Attribute_Meetingle_3
土3	Soil_3
Node粒	Node_grain
Emitter1	Emitter1
Emitter0	Emitter0
Emitter10	Emitter10
Emitter11	EMITTER11
ヒット_モデル血	Hit_model_blood
ヒット_血	Hit_blood
控ヒット_閃光	Mini_Hit_flash
控ヒット_火花1	Minutes_spark_1
控ヒット_火花2	Minute_Hot_Spark_2
属性_火花1	Attribute_spark_1
属性_猛毒1	Attribute_Dough_poison_1
属性_猛毒2	Attributes_Gorgeous_poison_2
属性_猛毒3	Attributes_Doison_3
属性_耐性ダウン1	Attribute_Resistance_Down_1
属性_耐性ダウン2	Attribute_Resistance_Down_2
属性_耐性ダウン3	Attribute_Resistance_Down_3
属性_防御ダウン1	Attribute_Defense_Down_1
属性_防御ダウン2	Attribute_Defense_Down_2
属性_防御ダウン3	Attribute_Defense_Down_3
白泡1	Light_bubble_1
白泡2	White_bubble_2
赤泡1	Bubble_1
赤泡2	Bubble_2
緑泡1	Green_bubble_1
緑泡2	Green_bubble_2
属性_爆破_2_3	Attribute_Blasting_2_3
属性_爆破_2_4	Attribute_Blasting_2_4
属性_爆破4	Attribute_Blast_4
鬼火1	Demon_fire_1
鬼火2	Demon_fire_2
8:Poison	8: Poison
11:Sleep	11: Sleep
20:Explosion_2	20: Explosion_2
7:Dragon	7: DRAGON
13:DefenceDrop	13: Defencedrop
15:Bubble	15: Bubble
3:Fire	3: Fire
18:Explosion_1	18: Explosion_1
16:RedBubble	16: Redbubble
6:Ice	6: ICE
2:Bomb	2: Bomb
0:Blood	0: BLOOD
4:Water	4: Water
10:Paralyze	10: Paralyze
5:Thunder	5: Thunder
19:OniBomb	19: ONIBOMB
17:GreenBubble	17: Greenbubble
100:Blood_Op	100: Blood_OP
14:Koyashi	14: Keep
9:NoxiousPoison	9: NOxiousPoison
12:ResistanceDrop	12: Resistantedrop
1:Spark	1: SPARK
kan1	kan1
小爆発線1	Small_outbreak_line_1
ブラー	Blur
のぼり煙　2	Smoke_2
煙	smoke
煙0	Smoke_0
火花　金属用	For_spark_metal
Node：ヒット火花	NODE:_Hit_sparks
エミッシブ/リム発光5	Emissive_/_Rim_Light_5
ブラー0	Blur_0
小爆発線0	Small_outbreak_line_0
小爆発粉塵1	Small_explosion_dust_1
エミッシブ/リム発光3	Emissive_/_Rim_Light_3
フルバ爆発	Fluba_explosion
フルバ爆発0	Fluba_explosion_0
マズル炎	Muzzle_flame
ブラー1	Blur_1
属性_爆破5	Attribute_Blast
砕け粒	Crushed_grain
エネルギーグロー	Energy_glow
エネルギーグロー0	Energy_Glow_0
粒1	1
粒2	Grain_2
きらきら	Sparkle
廻るやつ	Guy
虹	Rainbow
全能パワーアップ	Complete power up
普通パワーアップ	Normal power up
mizu6	mizu6
Emitter	EMITTER
コアモデル_loop	Core_model_loop
10_1107	10_1107
ヒモ風モデル	Typhoon_model
mizu8	mizu8
コアモデル_loop0	Core_model_loop0
10_1108	10_1108
ヒモ風モデル0	Someway_model_0
Emitter4	Emitter_4
Emitter3	Emitter3
コアモデル_loop1	Core_model_loop1
10_1109	10_1109
Emitter6	Emitter_6
コアモデル_loop2	Core_model_loop2
10_1110	10_1110
Emitter9	Emitter9
泡_ディストーション版0	Bubble_distortion_version_0
スパーク	spark
mizu7	mizu7
シビレ	Sibile
睡眠	sleep
色替え用	For color change
毒	poison
色替え用(小)	For color change (small)
ニトロ	Nitro
色替え用(大)	For color change (large)
のぼり	Row
拡散1	Diffusion_1
10_1205	10_1205
10_1206	10_1206
10_1207	10_1207
10_1208	10_1208
気焔	Fear
通常	Normal
10_1204	10_1204
粒子	particle
粒3	Grain_3
きらきら0	Kirakira_0
bag0	BAG0
gpu0	GPU0
wire1	wire1
wire3	wire3
gpu	GPU
bag1	BAG1
bag3	BAG3
kona	powder
bag4	BAG4
アンカー	anchor
アンカー切れ	Anchor
アンカー4	Anchor_4
アンカー5	Anchor_5
結ワイヤー1	Wire_1
結ワイヤー2	Wire_2
結ワイヤー3	Wire_3
結ワイヤー4	Wire_4
虫ヌル結	Insect_null
虫	insect
bag	bag
追跡	Tracking
置いていく	Put_on
wire8	wire8
wire9	wire9
wire7	wire7
雷光虫_逃げ0	Lightning_soba_escape_0
kan0	kan0
十字１	Cross_1
十字２	Cross_2
光	light
手前火花	Prepay
小爆発線2	Small_outbreak_line_2
インパクト0	Impact_0
風圧コアインパクト	Wind_pressure_core_impact
風圧コア	Wind_pressure_core
気流3	Airflow_3
光1	Light_1
光2	Light_2
光3	Light_3
ワイヤー	wire
オーラ1	Aura_1
オーラ2	Aura_2
オーラ3	Aura_3
結ワイヤー5	Wire_5
繭光	Magnique_light
ゆがみ	Distortion
繭フラッシュ1	Flash_1
繭フラッシュ2	Motor_Flash_2
繭フラッシュ3	Mashishi_Flash_3
nodフラッシュ粒	NOD_flash_grain
衝撃0	Shock_0
火花2	Spark_2
火花3	Spark_3
wire10	wire10
衝撃	impact
火花１	Spark_1
火花２	Spark_2
wire2	wire2
粒	grain
切断ワイヤー	Cutting_wire
粉2	Flour
糸きり	Spoiled
斬撃	Slashing
気流1	Air_flow_1
気流2	Air_flow_2
ディストーション水：水	Distortion_water:_water
余韻煙：土/砂	Clamp_Smoke:_Sat_/_Sand
Node粒/小：土/砂	Node_grain_/_small:_Sat_/_sand
Node粒/小：水	Node_grain_/_small:_water
Node粒/大：土/砂	Node_grain_/_large:_Sat_/_sand
Node粒/大：雪	NODE_grain_/_large:_snow
Node粒/大：水	NODE_grain_/_large:_water
土くれ：土	Earth:_Saturday
土くれ：砂	Earth:_sand
余韻煙：雪	Clamp_Smoke:_Snow
Node粒/小：雪	Node_grain_/_small:_snow
土くれ：雪	Earth:_Snow
水柱余韻：水	Water_pole_leverage:_water
Lv.2&&&04_ice	Lv. 2 &&& 04_ice
Lv.1&&&01_soil	Lv.1 &&& 01_soil
Lv.2&&&05_sand	Lv. 2 &&& 05_sand
Lv.1&&&06_magma	Lv.1 &&& 06_magma
Lv.1&&&02_deepwater	Lv.1 &&& 02_deepwater
Lv.2&&&02_deepwater	Lv. 2 &&& 02_deepwater
Lv.2&&&03_shallowwater	Lv.2 &&& 03_Shallowwater
Lv.1&&&05_sand	Lv.1 &&& 05_sand
Lv.2&&&01_soil	Lv. 2 &&& 01_soil
Lv.1&&&04_ice	Lv.1 &&& 04_ice
Lv.1&&&03_shallowwater	Lv.1 &&& 03_shallowwater
Lv.2&&&06_magma	Lv. 2 &&& 06_magma
余韻煙：土	Clazing_smoke:_soil
Node粒：土/砂	Node_grain:_Sat_/_sand
Node粒：水	Node_grain:_water
Node粒：雪	Node_grain:_Snow
02_deepwater	02_DEEPWATER
05_sand	05_SAND
03_shallowwater	03_ShallowWater
04_ice	04_ICE
01_soil	01_SOIL
06_magma	06_magma
しぶき：水	Splash:_water
滞留煙：土/砂	Stay_smoke:_Sat_/_sand
滞留煙：雪	Stay_smoke:_snow
粒煙：反：土	Bremage:_Anti:_Saturday
粒煙：反：水/雪	Brim_smoke:_Anti:_Water_/_Snow
煙：反：土	Smoke:_Anti:_Saturday
煙：反：水/雪	Smoke:_Anti:_Water_/_Snow
煙：土	Smoke:_soil
粒煙：水/雪	Heavy_brim:_Water_/_Snow
粒煙：土	Seability:_Saturday
煙：水/雪	Smoke:_Water_/_Snow
Node粒：土	Node_grain:_soil
Node粒：反：土	Node_grain:_Anti:_Soil
Node粒：反：水	Node_grain:_anti-water
Node粒：反：雪	Node_grain:_Anti:_Snow
煙：土/砂	Smoke:_Sat_/_Sand
煙：雪	Smoke:_Snow
コンスト煙：土	Stop_smoke:_soil
かきわけ煙：土	Kakara_smoke:_soil
かきわけしぶき：水	Karayaku_Shibuki:_Water
岩粒/大：土	Rock_granules_/_large:_soil
コンスト煙：雪	Stop_smoke:_snow
かきわけ煙：雪	Kakara_smoke:_snow
岩粒/大：雪	Rock_granules_/_large:_snow
ディゾルブ粒：水	Dysolv_granules:_water
マズルフラッシュ	Muzzle_flash
火花	spark
火花0	Spark_0
水/中	Water_/_middle
ヒモ水	Pitfall
ヒモ水/ディストーション/小	Pastish_water_/_distortion_/_small
ヒモ水/小：溶岩	Seaweed_/_small:_lava
粒/小：溶岩	Grain_/_small:_lava
粒/中	Grain_/_middle
右手	right_hand
ディストーション/Loop	Distortion_/_LOOP
ビルボード炎	Billboard_flame
右手0	Right_hand
ディストーション/Loop0	Distortion_/_LOOP0
rim_light_red	RIM_LIGHT_RED
rim_light_orange	RIM_LIGHT_ORANGE
rim_light_yellow	RIM_LIGHT_YELLOW
rim_light_red1	RIM_LIGHT_RED1
rim_light_orange1	RIM_LIGHT_ORANGE1
rim_light_yellow1	RIM_LIGHT_YELLOW1
rim_light_purple	RIM_LIGHT_PURPLE
rim_light_blue	RIM_LIGHT_BLUE
rim_light_skyblue	RIM_LIGHT_SKYBLUE
rim_light_red0	rim_light_red0
rim_light_orange0	RIM_LIGHT_ORANGE0
rim_light_yellow0	RIM_LIGHT_YELLOW0
赤1	Red_1
赤2	Reddish
赤3	Red_3
赤4	Red_4
橙1	Orange_1
橙2	Orange_2
橙3	Orange_3
橙4	Orange_4
黄1	Yellow_1
黄2	Yellow_2
黄3	Yellow_3
黄4	Yellow_4
紫1	Purple_1
紫2	Purple_2
紫3	Purple_3
紫4	Purple_4
青1	Blue_1
青2	Blue_2
青3	Blue_3
青4	Bluish
空青1	Sky_1
空青2	Empty_blue_2
空青3	Empty_blue_3
空青4	Empty_blue_4
yellow(ガルク用)	Yellow (for garlic)
orange(ガルク用)	ORANGE (for garlic)
red(ガルク用)	Red (for garlic)
yellow	Yellow
orange	ORANGE
skyblue	SkyBlue
blue	blue
red(大剣用)	Red (for large sword)
yellow(大剣用)	Yellow (for large swords)
orange(大剣用)	ORANGE (for large swords)
orange(弓用)	ORANGE (for bows)
red	red
purple	purple
yellow(弓用)	Yellow (for bows)
red(弓用)	Red (for bow)
blue(操虫棍用)	BLUE
まちうけ2	Machine_2
まちうけ3	Machine_3
まちうけ4	Machine_4
水3	Water_3
水4	Water_4
赤5	Red_5
橙5	Orange_5
黄5	Yellow_5
紫5	Purple_5
青5	Bluish
発動1	1
発動2	Moving_2
発動3	Activation_3
待ち受け2	Standing_2
待ち受け1	Standing_1
待ち受け3	Stand-alone_3
待ち受け4	Standby_4
受付	reception
発動	Activation
紫_小_炎	Purple_small_flame
属性_水	Attribute_water
属性_雷	Attribute_lightning
紫_小_粒	Purple_small_grain
赤紫_小_炎	Red_purple_small_flame
赤紫_小_粒	Red_purple_small_grain
解除_炎	Release_flame
解除_粒	Release_grain
紫_大_炎1	Purple__flame_1
紫_大_炎2	Purple_University_Flame_2
紫_大_粒	Purple_large_grain
赤紫_大_炎1	Red_purple__flame_1
赤紫_大_炎2	Red_purple__flame_2
赤紫_大_粒	Red_purple_large_grain
起爆_直前	Exploning_just_before
やられ中(爆発直前)	While being done (just before the explosion)
やられ中	Under
置いていかれて爆弾化	Bombing is placed
置いていかれて爆弾化(爆発直前)	Bombing (just before the explosion)
解除	lift
インパクト最初	First_of_the_impact
インパクト拡散	Impact_diffusion
線	line
ヒモ煙0	Himo_smoke_0
インパクトモデル	Impact_model
Node炸裂粒	Node_bursting
爆発	explosion
余韻煙	Leisure
ヒモ煙	Humimbility
余韻粒	Leisure
直前爆発	Last explosion
通常爆発	Normal explosion
属性_爆破_1_3	Attribute_blast_1_3
インパクト	Impact
ディストーション	distortion
毒煙	Poisonous_smoke
毒泡_ディストーション版1	Poison_bubble_distortion_1
毒煙0	Poisonous_smoke_0
毒泡_ディストーション版2	Poison_bubble_distortion_2
猛毒	Poisonous
白泡_小	Bubble_small
白泡_置き泡	Bubble_placement_bubbles
ディストーション水	Distortion_water
ディストーション水0	Distortion_water_0
白泡_大	Bubble_large
属性_雷0	Attribute_lightning_0
mizu9	mizu9
コアほどけ余韻	Core_lifting
糸ほどけ余韻	About_the_yarn
糸集めLOOP	Collection_LOOP
糸散りLOOP	Fire_speech_LOOP
糸巻きLOOP	Line_winding_LOOP
糸垂れ	Bowel
開始	start
拘束中	Mutant
ピヨリ１	Piyori_1
ピヨリ２	Piyori_2
ピヨリ３	Piyori_3
黒煙1	Black_smoke_1
黒煙2	Black_smoke_2
火やられ解除	Correct
爆破やられ解除	Blasting cancellation
金泥	Gold mud
マグマ	magma
kona1	Flour
砕け粒0	Green_grain_0
砕け粒1	Green_grain_1
砕け粒2	Green_grain_2
attribute_slash3_L	attribute_slash3_l
エネルギーグロー1	Energy_glow_1
余韻つぶ3	Pouring_3
attribute_strike1_S0	attribute_strike1_s0
attribute_strike1_S1	Attribute_strike1_s1
mizu11	MIZU11
Node粒：早：土/砂	Node_grain:_Fast:_Sat_/_Sand
Emitter8	Emitter8
Emitter15	EMITTER15
mizu16	mizu16
mizu13	mizu13
mizu14	mizu14
Emitter2	Emitter2
mizu23	MIZU23
mizu27	mizu27
ラジアルブラー/SINGLE	Radial_blur_/_Single
Emitter17	EMITTER17
mizu21	MIZU21
mizu22	MIZU22
mizu24	mizu24
mizu26	MIZU26
mizu25	mizu25
ラジアルブラー/SINGLE0	Radial_blur_/_Single0
予兆あり	In
予兆あり(閃光羽虫用)	There is a sign (for flash fads)
予兆なし	Sincerely
メッシュ1	Mesh_1
メッシュ2	Mesh_2
インパクト1	Impact_1
砂/GPU	Sand_/_GPU
電気_中1	Electricity_1
電気_大	Electricity_large
放電1	Discharge_1
ブラー_輪	Blur_wheel
ブラー_変身	Blur_makeover
ブラー_小	Blur_small
Emitter14	EMITTER14
電気_拡散	Electric_diffusion
電気_大0	Electricity_large_0
発動中	Underway
設置中	Installed
消滅	Annihilation
毒泡_ディストーション版0	Poison_bubble_distortion_0
発動煙：土	Trigger_smoke:_soil
滞留煙/小	Stay_smoke_/_small
広範囲：薄い余韻煙	Broadness:_Thinerant_smoke
広範囲：薄い余韻煙0	Wide_range:_thin_distant_smoke_0
上に飛ぶ粒	Grain_flying_above
中心：小岩：土0	Core:_Koiwa:_Sat_0
広範囲：薄い余韻煙2	Wide_range:_thin_distant_smoke_2
中心：小岩：土2	Core:_Koiwa:_Saturday_2
広範囲：薄い余韻煙1	Wide_range:_thin_interpretation_1
中心：小岩：土1	More:_Koiwa:_Saturday_1
中段:小岩	Medium:_small_rock
中段:小岩0	Medium:_small_rock_0
土くれ余韻長：土/砂	Earth_of_the_Earth_Rhyme_Length:_Sat_/_Sand
土くれインパクト：土/砂	Earth_impact:_Sat_/_sand
ディストーションしぶき：水	Distortion_splash:_water
コンスト煙0	Stop_smoke_0
滞留煙/小0	Stay_smoke_/_small_0
砂/小0	Sand_/_small_0
中心：インパクト煙：雪	Center:_Impact_Smoke:_Snow
中心：薄い余韻煙：小：雪	Core:_Thinerant_smoke:_small:_snow
中心：小岩：雪	Core:_Small_rocks:_Snow
中心：小岩：土/砂	Core:_Small_rocks:_Sat_/_Sand
中心：小岩：土/砂0	Core:_Small_rocks:_Sat_/_Sand_0
中段：小岩：雪	Medium:_small_rocks:_snow
中心：煙：雪	Core:_Smoke:_Snow
土くれ/余韻長：雪	Earth_/_forth:_Snow
Node粒：早：雪	Node_grain:_Fast:_Snow
中心：インパクト煙：土/砂	Center:_Impact_Smoke:_Sat_/_Sand
中心：薄い余韻煙：小：砂	Core:_Thinerant_smoke:_Small:_sand
発動煙：砂	Trigger_smoke:_sand
発動GPU粒：土/砂	Triggered_GPU_grain:_Sat_/_sand
発動風圧/共通	Active_wind_pressure_/_common
コアモデル0	Core_model_0
煙LOOP	Smoke_loop
Lv.3&&&06_magma	Lv. 3 &&& 06_magma
Lv.3&&&01_soil	Lv. 3 &&& 01_soil
Lv.3&&&02_deepwater	Lv. 3 &&& 02_deepwater
Lv.3&&&03_shallowwater	Lv. 3 &&& 03_shallowwater
Lv.3&&&04_ice	Lv.3 &&& 04_ice
Lv.3&&&05_sand	Lv. 3 &&& 05_sand
※maser only※Light_02	※_Not_R_ON_LY_※_GHT_02
ビルボード炎0	Billboard_flame_0
火球火花0	Fire_spherical_spark_0
ビルボード炎2	Billboard_flame_2
ビルボード炎1	Billboard_flame_1
黒煙3	Black_smoke_3
よだれ補強	Reinforcement
飛沫	splash
こげ	Ghost
こんがり	Hide
生焼け	Baked
根本霧	Fundamental_fog
でかい霧	Fog
目隠しディゾルブ霧	Blindfolded_dissolve_fog
目隠しディゾルブ霧1	Blindfolded_disorbled_fog_1
目隠しディゾルブ霧0	Blindfold_dissolve_fog_0
到着	arrival
出発	Departure
attribute_strike1_S	Attribute_strike1_s
kan	kan
軌跡	Trajectory
ｸﾅｲｷﾗﾝ	Kunaikiran
インパクト煙	Impact_smoke
螺旋	Spiral
NoMip雷	NOMIP_lightning
ビルボード雷	Billboard_lightning
細霧	Fog
火炎煙メイン4	Flame_mine_main_4
麻痺柿	Paralytic potato
毒柿	Poisonous
液/ヒモ	Liquid_/_plain
柿/大	柿_/_large
柿/中	柿_/_middle
柿/大0	/_Large_0
柿/中0	Mochi_/_middle_0
液/ヒモ0	Liquid_/_Thao_0
コア部分	Core_part
マズル火	Muzzle_fire
マズル火0	Muzzle_fire_0
ヒモ煙3	Himimo_3
炎	flame
煙余韻	Smoke_adjuvant
引火2	Ignition_2
10_1116	10_1116
引火4	Flash_4
引火8	Ignorance_8
予兆	omen
発射マズル	Launched Muzzle
発射マズル(空中)	Launched Muzzle (Aerial)
引火9	Ignition_9
水蒸気きらきら0	Water_vapor_depression_0
水蒸気きらきら1	Water_vapor_depression_1
滞留煙0	Stay_smoke_0
滞留煙	Stall_smoke
敵に付く前	Before attached to the enemy
敵に付いた後	After attached to the enemy
口の中に居るナマコ/ヤセ	Namako_/_Yase_in_the_mouth
01_2010_va1	01_2010_VA1
01_2010_va0	01_2010_VA0
Lv.1	Lv.1
Lv.2	Lv. 2
余韻つぶ0	Spinning
kona0	kona0
水蒸気きらきら2	Water_vapor_depression_2
爆発煙	Explosion_smoke
爆発煙0	Explosion_smoke_0
火の粉1	Fire_powder_1
下段:小岩２	Bottom:_Small_rock_2
インパクト2	Impact_2
土くれ：土/砂	Earth:_Sat_/_Sand
位置取り用	Positioning
コア	core
水蒸気きらきら6	Water_vapor_depression_6
水蒸気きらきら9	Water_vapor_depression_9
白身	White_body
黄身	yolk
黄身メッシュ0	Yellow_mesh_0
デカール	Decal
殻小	Shell_small
殻0	0
殻	shell
殻小0	Shell_small_0
殻1	1_shell
殻小1	Shell_small_1
normal	NORMAL
gold	GOLD
dragon	DRAGON
ベース矢印	Base_arrow
飛んでく矢印	Arrow_to_fly
水蒸気きらきら12	Water_vapor_depression_12
gpu2	gpu2
gpu4	gpu4
ワイヤーちぎれ6	Wire_soup_6
ワイヤーちぎれ12	Wire_ぎ_12
ワイヤージャンプ	Wire jump
翔蟲掲げる	Sho
red_bk	red_bk
blue_00	BLUE_00
blue_10	BLUE_10
blue_30	Blue_30
red_00	red_00
red_10	red_10
red_30	red_30
yellow_00	YELLOW_00
yellow_10	YELLOW_10
yellow_30	YELLOW_30
green_00	GREEN_00
green_10	Green_10
green_30	Green_30
Detonerate_1	DETONERATE_1
mizu10	MIZU10
水上に飛び出す	Fly from water
水面に飛び込む	Take into the water surface
水蒸気きらきら11	Water_vapor_depression_11
氷塊/小	Ice_mass_/_small
黒煙	Black_smoke
燃え残り_黒煙	Burning_residue_black_smoke
燃え残り_火	Burning_residue_fire
放射炎	Reactivitis
インパクトフラッシュ	Impact_Flash
余韻火花	Lung_spark
黒煙0	Black_smoke_0
放射冷気	Radiation_cold
放電	Discharge
インパクトフラッシュ1	Impact_Flash_1
光拡散小	Light_diffusion_small
水　芯	Water_core
ブラー2	Blur_2
ビチャビチャ	Bichabcha
雷玉爆発	Lightning ball explosion
炎玉爆発	Flame bottle explosion
水玉爆発	Polka dot explosion
氷玉爆発	Ice ball explosion
余韻炎	Ancheitis
雪煙	Smoke
雪煙0	Snow_smoke_0
炎玉	Bottle
水玉	Polka dot
雷玉	Thunderball
氷玉	Ice ball
mizu12	mizu12
mod_web	MOD_WEB
web	web
web0	web0
mod_impact	mod_impact
mod_core0	mod_core0
follow_web	Follow_Web
web3	web3
web4	web4
水蒸気きらきら3	Water_vapor_depression_3
粒4	4
下からポコポコ	From_below
下からポコポコ0	From_below_Pocopoko_0
mizu17	MIZU17
攻撃アタリ	Attack Atari
集まってくる予兆	Signs gather
10_1111	10_1111
普通墨	Ordinary ink
全能墨	All-piece
土２	Soil_2
土4	Sat_4
はりつき中(Lv.1)	During the end (Lv.1)
はりつき中(Lv.2)	During the end (Lv. 2)
警戒中	In a warning
はりつき中(Lv.3)	During the end (Lv. 3)
お皿/Loop	Dish_/_LOOP
30mラジアルブラー/Loop0	30m_radial_blur_/_loop0
ぼわぼわ/Loop0	Ballow_/_Loop0
地面白ヒモ/Loop	Gallery_White_Himo_/_LOOP
Node炸裂粒/Loop	Node_bursting_grains_/_LOOP
追加チンダル効果	Additional_tindal_effect
追加チンダル効果0	Additional_tindal_effect_0
帰っていく時	When you go back
引き付け時	At the time of attraction
周囲ぐるり炎	Surrounding_flame
球モデル	Spherical_model
火_中央	Fire_central
火_外周	Fire_
Node火の粉	Node_fire_powder
火_最初の拡散	Fire_First_diffusion
水	water
Dist	Dist
つぶ	Crushing
【通常】チェイン	[Normal]_chain
【通常】ビチャビチャ	[Normal]_Vichibcha
【切断後】チェイン	[After_cutting]_chain
【切断後】ビチャビチャ	[After_cutting]_Vichibcha
チェイン	chain
破片	Debris
火花　リボン	Spark_ribbon
破片_小	Chip_small
しぶき粒	Splash_grain
コアモデル	Core_model
Node	So
Node粒_余韻	Node_grain_
1_球モデル	1_sphere_model
1_黒煙	1_black_smoke
1_爆発	1_explosion
1_インパクト	1_impact
1_Node粒	1_Node_grain
1_線	1_line
2_球モデル	2_sphere_model
2_黒煙	2_black_smoke
2_爆発	2_Explosion
2_余韻ちぎれ火	2_nesupply
2_インパクト	2_It
2_Node粒	2_Node_grain
2_線	2_line
弾_コア	Bullet_core
弾_軌跡	Bullet_trajectory
弾_GPU火の粉	Bullet_GPU_fire_powder
予兆_黒煙	President_black_smoke
予兆_炎	Confignity_flame
GPU_火の粉	GPU_Fire_powder
【地面ヒット】黒煙	[Ground_hits]_black_smoke
【地面ヒット】爆炎	【Green_hit】_Flame
【水面ヒット】煙	[Water_surface_hit]_smoke
【水面ヒット】爆炎	【Water_surface_hit】_Explosion
ちぎれ火	Tirty_fire
nodebillboard	NodeBillboard
爆発_黒煙	Explosion_black_smoke
火	fire
モデル	model
炎_スタート	Flame_start
リボン青_口元	Ribbon_blue_mouth
リボン炎1	Ribbon_flame_1
炎2	Flame_2
炎3	Flame_3
残し炎	Residue
火の粉	sparks
リボン	ribbon
マズル_火	Muzzle_fire
レーザー_st	Laser_ST
レーザー	laser
火_余韻	Fire_afterglow
火_先頭コンスト	Tue_Top_Construction
口の中の炎	Flame_in_the_mouth
炎上コア	Flame_core
破裂	rupture
爆発のみSINGLE	Explosion only Single
燃え残りありLOOP	Burning residue LOOP
爆発_柱	Explosion_pillar
インパクトボケ足	Impact_bubble_foot
爆発_火	Explosion_ire
爆発_柱フタ	Explosion_column_lid
Node粒_炸裂	Node_grain_burst
置き捨て黒煙	Brown_smoke
コンスト炎	Convent_flame
GPU_前	Gpu_before
インパクトブラー	Impact_blur
余韻火ちぎれ	Spare
爆発_黒煙_中心	Explosion_Black_smoke_
ほどけモデル	Model
爆発_黒煙_根本小	Explosion_Black_smoke_base_small
